S&P/TSX Composite index (^GSPTSE),,,,,,
"33,891.18-73.15(-0.22%)",,,,,,
At close: May 1 at 4:20:01 PM EDT,,,,,,
"Jan 01, 1990 - May 03, 2026",,,,,,
Historical Prices,,,,,,
Monthly,,,,,,
Currency in CAD,,,,,,
Download,,,,,,
Date,Open,High,Low,Close ,Adj Close ,Volume
01-Jun-17,"15,363.10","15,594.20","15,078.00","15,182.20","15,182.20","5,044,945,600"
01-May-17,"15,601.70","15,700.60","15,164.70","15,349.90","15,349.90","4,552,021,500"
01-Apr-17,"15,587.00","15,792.60","15,427.30","15,586.10","15,586.10","3,933,956,300"
01-Mar-17,"15,534.70","15,664.10","15,241.60","15,547.80","15,547.80","5,236,485,800"
01-Feb-17,"15,423.80","15,943.10","15,327.20","15,399.20","15,399.20","4,402,140,700"
01-Jan-17,"15,366.80","15,674.30","15,313.00","15,386.00","15,386.00","4,334,029,700"
01-Dec-16,"15,138.60","15,432.60","15,000.60","15,287.60","15,287.60","4,472,757,200"
01-Nov-16,"14,827.90","15,141.00","14,481.60","15,082.90","15,082.90","4,984,695,800"
01-Oct-16,"14,722.50","14,963.60","14,468.00","14,787.30","14,787.30","3,950,697,400"
01-Sep-16,"14,573.30","14,841.40","14,319.10","14,725.90","14,725.90","4,388,263,300"
01-Aug-16,"14,555.20","14,855.70","14,428.20","14,598.00","14,598.00","3,807,885,000"
01-Jul-16,"14,200.10","14,609.00","14,080.20","14,582.70","14,582.70","3,872,760,200"
01-Jun-16,"14,017.00","14,450.90","13,609.60","14,064.50","14,064.50","5,235,274,600"
01-May-16,"13,963.90","14,172.40","13,535.50","14,065.80","14,065.80","4,742,128,600"
01-Apr-16,"13,404.60","13,972.60","13,217.20","13,951.50","13,951.50","4,943,424,400"
01-Mar-16,"12,896.30","13,685.50","12,858.00","13,494.40","13,494.40","6,115,364,500"
01-Feb-16,"12,766.20","12,984.70","11,985.70","12,860.40","12,860.40","5,553,510,400"
01-Jan-16,"12,920.60","12,954.90","11,531.20","12,822.10","12,822.10","5,129,644,400"
01-Dec-15,"13,488.40","13,653.70","12,617.70","13,010.00","13,010.00","4,495,475,300"
01-Nov-15,"13,531.00","13,790.10","13,030.50","13,469.80","13,469.80","4,013,504,500"
01-Oct-15,"13,362.50","14,053.20","13,086.40","13,529.20","13,529.20","4,839,515,700"
01-Sep-15,"13,691.80","13,876.00","12,964.10","13,307.00","13,307.00","4,457,532,700"
01-Aug-15,"14,465.80","14,622.40","12,705.20","13,859.10","13,859.10","4,207,264,000"
01-Jul-15,"14,588.20","14,748.00","13,938.90","14,468.40","14,468.40","3,804,476,900"
01-Jun-15,"15,040.90","15,182.20","14,482.20","14,553.30","14,553.30","3,725,889,300"
01-May-15,"15,224.40","15,416.60","14,934.30","15,014.10","15,014.10","3,483,023,200"
01-Apr-15,"14,925.20","15,524.80","14,878.50","15,224.50","15,224.50","3,772,368,300"
01-Mar-15,"15,240.90","15,283.70","14,606.20","14,902.40","14,902.40","4,479,338,300"
01-Feb-15,"14,713.90","15,349.00","14,713.90","15,234.30","15,234.30","4,293,263,700"
01-Jan-15,"14,637.30","14,853.30","13,892.60","14,673.50","14,673.50","5,178,528,700"
01-Dec-14,"14,753.50","14,789.00","13,635.50","14,632.40","14,632.40","5,719,021,100"
01-Nov-14,"14,632.20","15,184.40","14,327.00","14,744.70","14,744.70","4,009,177,600"
01-Oct-14,"14,958.50","14,958.50","13,646.80","14,613.30","14,613.30","4,600,707,700"
01-Sep-14,"15,626.90","15,685.10","14,821.70","14,960.50","14,960.50","3,736,970,700"
01-Aug-14,"15,330.80","15,653.40","15,056.10","15,625.70","15,625.70","2,734,232,600"
01-Jul-14,"15,146.00","15,527.30","15,021.10","15,330.70","15,330.70","3,323,445,900"
01-Jun-14,"14,604.20","15,146.00","14,604.20","15,146.00","15,146.00","3,393,673,500"
01-May-14,"14,651.90","14,765.20","14,473.80","14,604.20","14,604.20","2,995,727,100"
01-Apr-14,"14,335.30","14,662.00","14,221.40","14,651.90","14,651.90","3,506,261,200"
01-Mar-14,"14,209.70","14,406.90","14,139.30","14,335.30","14,335.30","3,664,332,300"
01-Feb-14,"13,694.90","14,280.90","13,450.30","14,209.60","14,209.60","3,650,954,400"
01-Jan-14,"13,621.40","14,002.40","13,473.20","13,694.90","13,694.90","3,958,912,800"
01-Dec-13,"13,395.40","13,644.30","13,059.70","13,621.60","13,621.60","2,886,736,500"
01-Nov-13,"13,362.90","13,517.00","13,285.20","13,395.40","13,395.40","2,698,397,100"
01-Oct-13,"12,787.20","13,471.10","12,678.00","13,361.30","13,361.30","3,396,521,600"
01-Sep-13,"12,654.30","12,964.90","12,654.30","12,787.20","12,787.20","2,555,871,000"
01-Aug-13,"12,486.60","12,812.60","12,400.10","12,653.90","12,653.90","2,514,315,900"
01-Jul-13,"12,178.00","12,772.10","12,055.60","12,486.60","12,486.60","552,542,500"
01-Jun-13,"12,661.20","12,681.20","11,759.00","12,129.10","12,129.10","37,965,200"
01-May-13,"12,408.00","12,889.30","12,276.00","12,650.40","12,650.40","579,680,800"
01-Apr-13,"12,751.60","12,751.60","11,916.60","12,456.50","12,456.50","3,845,683,700"
01-Mar-13,"12,798.70","12,904.70","12,622.50","12,749.90","12,749.90","3,671,660,900"
01-Feb-13,"12,741.20","12,832.70","12,602.50","12,821.80","12,821.80","3,328,508,900"
01-Jan-13,"12,571.80","12,895.30","12,430.40","12,685.20","12,685.20","3,572,534,100"
01-Dec-12,"12,253.70","12,457.30","12,095.50","12,433.50","12,433.50","3,468,514,000"
01-Nov-12,"12,408.50","12,511.50","11,761.30","12,239.40","12,239.40","3,356,105,900"
01-Oct-12,"12,372.50","12,494.00","12,137.20","12,422.90","12,422.90","3,116,811,700"
01-Sep-12,"11,978.00","12,529.80","11,904.50","12,317.50","12,317.50","3,642,520,600"
01-Aug-12,"11,693.10","12,196.80","11,475.40","11,949.30","11,949.30","3,035,865,900"
01-Jul-12,"11,727.50","11,936.20","11,366.70","11,664.70","11,664.70","3,248,198,800"
01-Jun-12,"11,413.10","11,824.60","11,209.60","11,596.60","11,596.60","4,100,253,800"
01-May-12,"12,325.70","12,364.60","11,256.70","11,513.20","11,513.20","4,116,747,500"
01-Apr-12,"12,381.50","12,526.60","11,869.00","12,292.70","12,292.70","3,636,982,100"
01-Mar-12,"12,643.00","12,731.50","12,194.50","12,392.20","12,392.20","4,938,268,500"
01-Feb-12,"12,510.70","12,788.60","12,291.80","12,644.00","12,644.00","4,117,625,300"
01-Jan-12,"12,097.20","12,616.00","11,955.90","12,452.20","12,452.20","4,129,696,600"
