date,tsx_cad,sp500_usd,vt_usd,usd_cad,sp500_cad,vt_cad
2009-02-01,8123.0,735.0900269,18.36,1.2451999999999999,915.3341014958798,22.861871999999998
2009-03-01,8720.4,797.8699951,19.98,1.2645181818181819,1008.9211155311336,25.265073272727275
2009-04-01,9324.8,872.8099976,22.39,1.224181818181818,1068.4781297892362,27.409430909090908
2009-05-01,10370.1,919.1400146,24.76,1.1527850000000002,1059.5708217306612,28.542956600000007
2009-06-01,10374.9,919.3200073,24.33,1.1263545454545456,1035.4802689496612,27.404206090909092
2009-07-01,10787.2,987.4799805,26.8,1.1228608695652174,1108.8026295824739,30.092671304347824
2009-08-01,10868.2,1020.619995,27.52,1.0872380952380953,1109.6569393257143,29.920792380952385
2009-09-01,11395.0,1057.079956,28.96,1.0816380952380953,1143.3779501222095,31.32423923809524
2009-10-01,10910.8,1036.189941,28.23,1.0546761904761905,1092.8448595836287,29.77350885714286
2009-11-01,11447.2,1095.630005,29.73,1.0593,1160.6008642964998,31.492988999999998
2009-12-01,11746.1,1115.099976,29.74,1.053690909090909,1174.9707074386909,31.336767636363632
2010-01-01,11094.3,1073.869995,28.65,1.0438105263157895,1120.9168046756843,29.905171578947368
2010-02-01,11629.6,1104.48999,29.25,1.0572105263157894,1167.678443638421,30.92340789473684
2010-03-01,12037.7,1169.430054,31.2,1.0229,1196.2100022365998,31.914479999999998
2010-04-01,12210.7,1186.689941,31.06,1.005209090909091,1192.8715167835728,31.221794363636363
2010-05-01,11763.0,1089.410034,27.99,1.0402799999999999,1133.29147016952,29.117437199999994
2010-06-01,11294.4,1030.709961,27.2,1.0376227272727272,1069.4880807599864,28.22333818181818
2010-07-01,11713.4,1101.599976,29.7,1.0422285714285715,1148.1189692722287,30.954188571428574
2010-08-01,11913.9,1049.329956,28.52,1.0403954545454546,1091.718116540782,29.672078363636363
2010-09-01,12368.7,1141.199951,31.39,1.032957142857143,1178.8106408136716,32.42452471428572
2010-10-01,12676.2,1183.26001,32.58,1.0179,1204.440364179,33.163182
2010-11-01,12952.9,1180.550049,31.72,1.0129,1195.7791446320998,32.129188
2010-12-01,13443.2,1257.640015,33.5,1.0080619047619048,1267.7789890256904,33.770073809523815
2011-01-01,13552.0,1286.119995,34.62,0.9939450000000001,1278.332538430275,34.4103759
2011-02-01,14136.5,1327.219971,35.64,0.9876368421052631,1310.811340937479,35.199377052631576
2011-03-01,14116.1,1325.829956,35.62,0.9765608695652174,1294.753654726974,34.78509817391304
2011-04-01,13944.8,1363.609985,37.17,0.957952380952381,1306.2734318211906,35.60709000000001
2011-05-01,13802.9,1345.199951,36.32,0.9680428571428572,1302.2112039944716,35.159316571428576
2011-06-01,13300.9,1320.640015,35.84,0.9766454545454546,1289.7970677405908,35.002973090909094
2011-07-01,12945.6,1292.280029,35.07,0.955315,1234.5344959041352,33.50289705
2011-08-01,12768.7,1218.890015,32.52,0.9817086956521739,1196.5949267691087,31.9251667826087
2011-09-01,11623.8,1131.420044,29.04,1.0025,1134.2485941099999,29.112599999999997
2011-10-01,12252.1,1253.300049,32.31,1.0198,1278.1153899701999,32.949738
2011-11-01,12204.1,1246.959961,31.91,1.024755,1277.828454834555,32.69993205
2011-12-01,11955.1,1257.599976,30.85,1.0235238095238095,1287.1835182925713,31.575709523809525
2012-01-01,12452.2,1312.410034,33.31,1.012985,1329.45167829149,33.74253035
2012-02-01,12644.0,1365.680054,34.9,0.996745,1361.2347654242299,34.7864005
2012-03-01,12392.2,1408.469971,35.3,0.9937727272727273,1399.699044362409,35.08017727272727
2012-04-01,12292.7,1397.910034,34.89,0.9928238095238096,1387.8783653274381,34.639622714285714
2012-05-01,11513.2,1310.329956,31.77,1.009731818181818,1323.0818488899815,32.079179863636355
2012-06-01,11596.6,1362.160034,33.4,1.028,1400.300514952,34.3352
2012-07-01,11664.7,1379.319946,33.64,1.0142,1398.9062892332001,34.117688
2012-08-01,11949.3,1406.579956,34.48,0.9923826086956522,1395.8654860742956,34.217352347826086
2012-09-01,12317.5,1440.670044,35.13,0.9783000000000001,1409.4075040452,34.367679
2012-10-01,12422.9,1412.160034,35.34,0.9871545454545455,1394.0201964723456,34.88604163636364
2012-11-01,12239.4,1416.180054,35.88,0.9969699999999999,1411.8890284363797,35.7712836
2012-12-01,12433.5,1426.189941,36.58,0.9898199999999999,1411.67132740062,36.2076156
2013-01-01,12685.2,1498.109985,38.47,0.9920571428571427,1486.210711404857,38.16443828571428
2013-02-01,12821.8,1514.680054,38.35,1.0097842105263157,1529.5000025283473,38.72522447368421
2013-03-01,12749.9,1569.189941,39.13,1.0244238095238094,1607.5155372256618,40.08570366666667
2013-04-01,12456.5,1597.569946,40.31,1.0186727272727272,1627.4009339007634,41.06269763636364
2013-05-01,12650.4,1630.73999,40.08,1.0195590909090908,1662.6357817135,40.863928363636354
2013-06-01,12129.1,1606.280029,38.68,1.0314,1656.7172219106,39.894552000000004
2013-07-01,12486.6,1685.72998,41.02,1.0402136363636363,1753.519312423,42.669563363636364
2013-08-01,12653.9,1632.969971,40.02,1.0407181818181819,1699.4615391828092,41.649541636363644
2013-09-01,12787.2,1681.550049,42.07,1.034235,1739.117914927515,43.51026645
2013-10-01,13361.3,1756.540039,43.82,1.0362818181818183,1820.270505324082,45.40986927272728
2013-11-01,13395.4,1805.810059,44.5,1.0486421052631578,1893.648461975147,46.664573684210524
2013-12-01,13621.6,1848.359985,45.18,1.0639190476190477,1966.5053948983573,48.06786257142857
2014-01-01,13694.9,1782.589966,43.45,1.0940095238095238,1950.170399851295,47.53471380952381
2014-02-01,14209.6,1859.449951,45.72,1.1054421052631578,2055.514268464916,50.54081305263157
