date,canada_rent,canada_vacancy,toronto_rent,toronto_vacancy,vancouver_rent,vancouver_vacancy,calgary_rent,calgary_vacancy,ottawa_rent,ottawa_vacancy,montreal_rent,montreal_vacancy,edmonton_rent,edmonton_vacancy,canada_rent_index_1999,toronto_rent_index_1999,vancouver_rent_index_1999,calgary_rent_index_1999,edmonton_rent_index_1999,canada_rent_index_2008,toronto_rent_index_2008,vancouver_rent_index_2008,calgary_rent_index_2008,ottawa_rent_index_2008,montreal_rent_index_2008,edmonton_rent_index_2008
2002-06-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-07-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-08-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-09-01,647.0,1.7,955.0,0.9,796.0,0.7,713.0,1.2,847.0,0.8,,,600.0,0.9,110.40955631399318,118.1930693069307,106.27503337783712,111.05919003115265,118.11023622047243,86.72922252010724,96.3673057517659,84.05491024287223,72.31237322515213,95.2755905511811,,67.79661016949152
2002-10-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2002-11-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2002-12-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-01-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-02-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-03-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-04-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-05-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-06-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-07-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-08-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-09-01,668.0,2.2,981.0,2.5,831.0,1.1,727.0,2.8,859.0,1.9,551.0,0.8,647.0,1.7,113.99317406143345,121.41089108910892,110.94793057409879,113.2398753894081,127.36220472440945,89.54423592493298,98.99091826437942,87.7507919746568,73.73225152129818,96.62542182227222,88.16000000000001,73.10734463276836
2003-10-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2003-11-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2003-12-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2004-01-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2004-02-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2004-03-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
2004-04-01,678.0,2.6,967.0,3.9,848.0,1.7,731.0,4.4,864.0,3.0,570.0,1.1,659.0,3.5,115.69965870307166,119.67821782178218,113.21762349799734,113.86292834890965,129.7244094488189,90.88471849865952,97.57820383451059,89.54593453009504,74.13793103448276,97.18785151856018,91.2,74.46327683615819
