date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_total_cost
2012-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,624.1003164673393,475.508960621444,155549.5701562134,360300.0,204750.4298437866,826.0,275.3333333333333,300.25,300.25,1499.9336498006726,0,0,1499.9336498006726
2012-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,622.1982806248536,477.4109964639297,155072.15915974946,360100.0,205027.84084025054,826.0,275.3333333333333,300.0833333333333,300.0833333333333,1497.6982806248534,0,0,1497.6982806248534
2012-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,620.2886366389978,479.3206404497855,154592.83851929966,359900.0,205307.16148070034,826.0,275.3333333333333,299.9166666666667,299.9166666666667,1495.4553033056645,0,0,1495.4553033056645
2012-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,618.3713540771987,481.2379230115846,154111.60059628807,359800.0,205688.39940371193,844.0,281.3333333333333,299.8333333333333,299.8333333333333,1499.3713540771985,0,0,1499.3713540771985
2012-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,616.4464023851523,483.162874703631,153628.43772158443,359600.0,205971.56227841557,844.0,281.3333333333333,299.6666666666667,299.6666666666667,1497.1130690518191,0,0,1497.1130690518191
2012-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,614.5137508863377,485.0955262024456,153143.342195382,361000.0,207856.657804618,844.0,281.3333333333333,300.8333333333333,300.8333333333333,1497.5137508863374,0,0,1497.5137508863374
2013-01-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,612.573368781528,487.03590830725534,152656.30628707472,360700.0,208043.69371292528,844.0,281.3333333333333,300.5833333333333,300.5833333333333,1495.0733687815277,0,0,1495.0733687815277
2013-02-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,610.6252251482989,488.9840519404844,152167.32223513423,361200.0,209032.67776486577,844.0,281.3333333333333,301.0,301.0,1493.9585584816323,0,0,1493.9585584816323
2013-03-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,608.669288940537,490.93998814824636,151676.38224698597,361900.0,210223.61775301403,844.0,281.3333333333333,301.5833333333333,301.5833333333333,1493.1692889405367,0,0,1493.1692889405367
2013-04-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,606.7055289879439,492.9037481008394,151183.47849888515,362800.0,211616.52150111485,844.0,281.3333333333333,302.3333333333333,302.3333333333333,1492.7055289879438,0,0,1492.7055289879438
2013-05-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,604.7339139955405,494.87536309324275,150688.6031357919,363800.0,213111.3968642081,844.0,281.3333333333333,303.1666666666667,303.1666666666667,1492.4005806622074,0,0,1492.4005806622074
2013-06-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,602.7544125431676,496.85486454561567,150191.7482712463,365000.0,214808.2517287537,844.0,281.3333333333333,304.1666666666667,304.1666666666667,1492.4210792098345,0,0,1492.4210792098345
2013-07-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,600.7669930849852,498.8422840037981,149692.9059872425,366800.0,217107.0940127575,844.0,281.3333333333333,305.6666666666667,305.6666666666667,1493.433659751652,0,0,1493.433659751652
2013-08-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,598.77162394897,500.83765313981326,149192.0683341027,368500.0,219307.9316658973,844.0,281.3333333333333,307.0833333333333,307.0833333333333,1494.2716239489698,0,0,1494.2716239489698
2013-09-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,596.7682733364107,502.84100375237256,148689.22733035032,370800.0,222110.77266964968,844.0,281.3333333333333,309.0,309.0,1496.1016066697441,0,0,1496.1016066697441
2013-10-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,594.7569093214013,504.852367767382,148184.37496258292,373200.0,225015.62503741708,862.0,287.3333333333333,311.0,311.0,1504.0902426547345,0,0,1504.0902426547345
2013-11-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,592.7374998503317,506.8717772384516,147677.50318534448,375700.0,228022.49681465552,862.0,287.3333333333333,313.0833333333333,313.0833333333333,1506.2374998503315,0,0,1506.2374998503315
2013-12-01,236900,47380.0,189520.0,fixed,5,0.048,1099.6092770887833,590.7100127413779,508.8992643474054,147168.60392099706,377000.0,229831.39607900294,862.0,287.3333333333333,314.1666666666667,314.1666666666667,1506.3766794080448,0,0,1506.3766794080448
