date,canada_house_index_2010,canada_house_real_index,tsx_cad,tsx_real,tsx_real_index,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index,start_year,base_date,end_date
2000-06-01,60.7041,101.04483624185204,10195.5,9981.98167539267,117.69678078778307,1454.599976,1.4770454545454543,2148.510282732727,2103.5153029896333,104.13366316123893,2000,2000-01-01,2025-12-01
2000-07-01,60.7041,101.04483624185204,10406.3,10156.461899791231,119.75406373927002,1430.829956,1.4777850000000001,2114.45904652746,2063.6943721327507,102.16234429575502,2000,2000-01-01,2025-12-01
2000-08-01,60.7041,101.04483624185204,11247.9,10989.327586206897,129.57431920631635,1517.680054,1.482813043478261,2250.4357798979913,2198.7016240382673,108.845822982253,2000,2000-01-01,2025-12-01
2000-09-01,60.0071,99.88464688296902,10377.9,10097.124349635797,119.05441923377624,1436.51001,1.48643,2135.2715741642996,2077.501479545911,102.84585949079525,2000,2000-01-01,2025-12-01
2000-10-01,60.0071,99.88464688296902,9639.6,9359.320872274144,110.35503498690198,1429.400024,1.5124761904761905,2161.933502966095,2099.0735464935606,103.91377582590609,2000,2000-01-01,2025-12-01
2000-11-01,60.0071,99.88464688296902,8819.9,8536.85973084886,100.65745871229983,1314.949951,1.5426380952380954,2028.4918877440668,1963.3953571849922,97.19708265818592,2000,2000-01-01,2025-12-01
2000-12-01,60.2182,100.23603278492055,8933.7,8638.065667011377,101.8507701478744,1320.280029,1.521875,2009.3011691343752,1942.8093000420279,96.17797833443952,2000,2000-01-01,2025-12-01
2001-01-01,60.2182,100.23603278492055,9321.9,9050.858255451712,106.7179759164697,1366.01001,1.5032,2053.386247032,1993.682389382056,98.69642977702082,2000,2000-01-01,2025-12-01
2001-02-01,60.2182,100.23603278492055,8078.7,7803.289772727273,92.0079915662741,1239.939941,1.5215631578947368,1886.6469322277737,1822.3294231745542,90.21367139662264,2000,2000-01-01,2025-12-01
2001-03-01,59.9294,99.75531156993429,7608.0,7325.932028836251,86.37950299885924,1160.329956,1.558740909090909,1808.6537704608545,1741.597605953552,86.21707586487717,2000,2000-01-01,2025-12-01
2001-04-01,59.9294,99.75531156993429,7946.6,7597.209611451944,89.57811618129656,1249.459961,1.5577666666666665,1946.3670785804331,1860.790611935281,92.11767678678932,2000,2000-01-01,2025-12-01
2001-05-01,59.9294,99.75531156993429,8161.9,7739.73275862069,91.25859568476601,1255.819946,1.54105,1935.2813277833002,1835.1805694496811,90.84986212722863,2000,2000-01-01,2025-12-01
2001-06-01,61.4651,102.31155661790655,7736.4,7328.808510638298,86.41341937529681,1224.380005,1.5245380952380954,1866.6139606703096,1768.271583816352,87.5375602093397,2000,2000-01-01,2025-12-01
2001-07-01,61.4651,102.31155661790655,7689.7,7306.777947154471,86.15365868996322,1211.22998,1.5307904761904763,1854.1393178603812,1761.809209552293,87.21764301934877,2000,2000-01-01,2025-12-01
2001-08-01,61.4651,102.31155661790655,7399.2,7030.743902439024,82.89896242750379,1133.579956,1.5398565217391305,1745.5504881593565,1658.627750435974,82.10968716429366,2000,2000-01-01,2025-12-01
2001-09-01,61.5748,102.49415743952702,6838.6,6484.879310344828,76.46271486416653,1040.939941,1.5679388888888888,1632.1302144916056,1547.709686155833,76.61873384066968,2000,2000-01-01,2025-12-01
2001-10-01,61.5748,102.49415743952702,6885.7,6562.823139653415,77.3817445809319,1059.780029,1.5716772727272728,1665.6321856695502,1587.529147401661,78.58997995366052,2000,2000-01-01,2025-12-01
2001-11-01,61.5748,102.49415743952702,7425.7,7143.034465020576,84.22297184351766,1139.449951,1.592245,1814.283487229995,1745.2212557202113,86.39646316178883,2000,2000-01-01,2025-12-01
2001-12-01,62.9571,104.79506095571638,7688.4,7380.548254620122,87.02347873059063,1148.079956,1.578755,1812.53697093478,1739.9610552607999,86.13605909340747,2000,2000-01-01,2025-12-01
2002-01-01,62.9571,104.79506095571638,7648.5,7327.20030737705,86.3944571739167,1130.199951,1.5997142857142859,1807.997007328286,1732.046313372897,85.74424303930431,2000,2000-01-01,2025-12-01
2002-02-01,62.9571,104.79506095571638,7637.5,7271.957739307535,85.74309628830618,1106.72998,1.5964,1766.7837400720002,1682.2228075023627,83.27775079631452,2000,2000-01-01,2025-12-01
2002-03-01,65.2743,108.65214959618086,7851.5,7422.8033367037415,87.52170516446853,1147.390015,1.5877428571428571,1821.7603006732857,1722.2910830429948,85.26131435901824,2000,2000-01-01,2025-12-01
2002-04-01,65.2743,108.65214959618086,7663.4,7201.285427135677,84.90980447271788,1076.920044,1.5814863636363639,1703.134364312673,1600.432794605376,79.22876972122407,2000,2000-01-01,2025-12-01
2002-05-01,65.2743,108.65214959618086,7656.1,7179.993480441324,84.65875276133194,1067.140015,1.5501545454545456,1654.231944888682,1551.360951324892,76.79948822676175,2000,2000-01-01,2025-12-01
2002-06-01,66.8429,111.26315824516782,7145.6,6687.823823823824,78.85561806633365,989.8200073,1.53184,1516.2458799824321,1419.1090067903644,70.25240990268014,2000,2000-01-01,2025-12-01
2002-07-01,66.8429,111.26315824516782,6605.4,6145.322388059701,72.45902522148896,911.6199951,1.54555,1408.954283426805,1310.818164183147,64.89151611147282,2000,2000-01-01,2025-12-01
2002-08-01,66.8429,111.26315824516782,6612.0,6127.076313181367,72.24388715121113,916.0700073,1.5694181818181818,1437.6969252749345,1332.2563182676547,65.95280314516447,2000,2000-01-01,2025-12-01
2002-09-01,65.5781,109.15783901831668,6180.4,5727.129831516352,67.52814884291368,815.2800293,1.576135,1284.9913889807556,1190.7501969246841,58.94760059007048,2000,2000-01-01,2025-12-01
2002-10-01,65.5781,109.15783901831668,6248.8,5773.347826086957,68.07310167415733,885.7600098,1.578009090909091,1397.7373478281256,1291.387767015116,63.92962226125499,2000,2000-01-01,2025-12-01
2002-11-01,65.5781,109.15783901831668,6570.4,6052.535960591132,71.36498756754585,936.3099976,1.5714526315789474,1471.366809702198,1355.3970118931577,67.09837370121924,2000,2000-01-01,2025-12-01
2002-12-01,67.3256,112.06663515124073,6614.5,6117.267556874382,72.12823285746403,879.8200073,1.5592190476190477,1371.8321138584897,1268.7072467435094,62.80683239852929,2000,2000-01-01,2025-12-01
2003-01-01,67.3256,112.06663515124073,6569.5,6022.041666666667,71.00543168535528,855.7000122,1.5414476190476192,1319.0167464247086,1209.0986842226496,59.85593493548219,2000,2000-01-01,2025-12-01
2003-02-01,67.3256,112.06663515124073,6555.1,5962.080252918288,70.29843125205797,841.1500244,1.5121473684210525,1271.942795843764,1156.8740409668478,57.270575370098356,2000,2000-01-01,2025-12-01
2003-03-01,67.8586,112.95383877862189,6343.3,5752.653249272551,67.82909350523578,848.1799927,1.4760809523809524,1251.9823314150851,1135.4058970641172,56.207803702743874,2000,2000-01-01,2025-12-01
2003-04-01,67.8586,112.95383877862189,6586.1,6013.67529296875,70.90678441438905,916.9199829,1.4582045454545456,1337.0568868828843,1220.8478410502898,60.43757213002942,2000,2000-01-01,2025-12-01
2003-05-01,67.8586,112.95383877862189,6859.8,6257.476097560975,73.78142101332344,963.5900269,1.3839571428571429,1333.5673005141614,1216.473586322674,60.22102644208523,2000,2000-01-01,2025-12-01
2003-06-01,70.2072,116.86319419938611,6983.1,6369.949756097561,75.1075892997083,974.5,1.3525095238095237,1318.0205309523808,1202.291898966318,59.518967820440864,2000,2000-01-01,2025-12-01
2003-07-01,70.2072,116.86319419938611,7257.9,6614.168128654971,77.98714941051244,990.3099976,1.382090909090909,1368.6984448648,1247.303163692581,61.747232037394404,2000,2000-01-01,2025-12-01
2003-08-01,70.2072,116.86319419938611,7510.3,6824.227891156463,80.46394796850011,1008.01001,1.3962714285714286,1407.455576677,1278.8833471263313,63.31059607833407,2000,2000-01-01,2025-12-01
2003-09-01,71.4171,118.87712978806985,7421.1,6730.095538312319,79.35404061162254,995.9699707,1.3633714285714287,1357.8770017675029,1231.440345928822,60.96194974377301,2000,2000-01-01,2025-12-01
2003-10-01,71.4171,118.87712978806985,7772.7,7069.5277237354085,83.35625949152124,1050.709961,1.3220954545454544,1389.1388634837317,1263.4677406199312,62.54745279476388,2000,2000-01-01,2025-12-01
