date,canada_house_real,canada_house_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
2012-04-01,105.5386,180.24610392382905,172.03,162.95706308169596,246.34476656341033,143.63,136.0548914167528,202.07172347653767,149.68,141.78581178903826,241.54312059461373,161.15,152.65087900723887,220.18012261248936,141.26,133.809886246122,215.54427552532545,166.29,157.5197931747673,257.3011976066111
2012-05-01,105.5386,180.24610392382905,174.91,165.68517063081694,250.46888984250478,145.71,138.02519131334023,204.99805630972853,151.0,143.03619441571868,243.67324431979333,159.22,150.82266804550153,217.54315310183406,139.65,132.28479834539812,213.08762620070576,167.87,159.01646328852118,259.74593807337664
2012-06-01,106.9303,182.6229452201016,172.83,163.71487073422958,247.49035636315884,147.77,139.97654601861427,207.89625132721562,152.19,144.16343329886246,245.5935831326447,162.42,153.85389865563596,221.91533052882727,144.6,136.97373319544982,220.64067847205195,170.28,161.29935884177868,263.4749409372406
2012-07-01,106.9303,182.6229452201016,172.78,163.66750775594622,247.41875700067456,150.62,142.67623578076524,211.9058900650011,151.11,143.1403929679421,243.850754630225,162.18,153.6265563598759,221.58741722180287,143.19,135.63809720785935,218.48920297657756,168.29,159.41431230610132,260.39580579239026
2012-08-01,106.9303,182.6229452201016,169.21,160.28579110651498,242.30656251929702,148.81,140.96169596690794,209.35941774381098,152.0,143.9834539813857,245.2869744146264,161.3,152.79296794208892,220.3850684293797,144.49,136.86953464322647,220.47283286602206,171.54,162.4929058945191,265.4245440942815
2012-09-01,106.0767,181.16510823619828,169.97,161.0057083764219,243.39487282905802,148.16,140.34597724922438,208.44493873343885,149.01,141.15114788004135,240.46192143107552,164.95,156.2504653567735,225.37208330704388,140.79,133.3646742502585,214.82711702683397,166.62,157.83238883143744,257.8118079572647
2012-10-01,106.0767,181.16510823619828,167.74,158.89331954498448,240.2015412622592,148.05,140.24177869700102,208.2901807470682,150.37,142.4394208893485,242.65659436004853,161.09,152.59404343329885,220.0981442857332,142.51,134.99396070320577,217.45161195748355,169.85,160.89203722854185,262.809600177298
2012-11-01,106.0767,181.16510823619828,167.04,158.23023784901756,239.1991501874793,147.6,139.81551189245084,207.65707989373362,149.63,141.7384488107549,241.46243408987206,163.17,154.5643433298862,222.94005961327886,142.09,134.59611168562566,216.81074691627848,166.87,158.06920372285418,258.19863398048705
2012-12-01,104.7044,178.8213995986508,165.21,156.49675284384693,236.57861352055468,146.75,139.01034126163393,206.46122272632397,148.17,140.35544984488104,239.10638815141573,160.99,152.49931747673216,219.9615137411397,139.54,132.18059979317474,212.9197805946758,166.44,157.66188210961735,257.5332932205445
2013-01-01,104.7044,178.8213995986508,166.01,157.25456049638055,237.72420332030316,146.51,138.78299896587382,206.12356893787882,149.68,141.78581178903826,241.54312059461373,160.82,152.33828335056876,219.72924181533068,143.78,136.1969803516029,219.38946577255624,165.88,157.13141675284382,256.66680292852635
2013-02-01,104.7044,178.8213995986508,169.64,160.69311271975178,242.92231703666175,146.39,138.66932781799375,205.9547420436562,147.04,139.28504653567734,237.2828731442544,157.09,148.8050051706308,214.63292250199166,138.21,130.92074457083763,210.8903746308596,165.03,156.32624612202687,255.3515944495702
2013-03-01,105.4775,180.14175312753514,165.29,156.5725336091003,236.69317250052956,147.59,139.80603929679418,207.64301098588174,151.88,143.86978283350567,245.0933268032464,167.46,158.6280868665977,228.80150997634172,138.86,131.5364632885212,211.88218957558183,171.49,162.44554291623578,265.347178889637
2013-04-01,105.4775,180.14175312753514,167.15,158.33443640124094,239.3566687849447,148.33,140.5070113753878,208.68411016692085,151.81,143.803474663909,244.98036569660812,165.8,157.05563598759048,226.53344293608896,143.41,135.84649431230608,218.8248941886374,172.37,163.27913133402274,266.70880649137985
2013-05-01,105.4775,180.14175312753514,169.55,160.60785935884178,242.79343818419014,151.06,143.09302998965873,212.5249220104838,153.49,145.39487073422956,247.69143225592768,168.52,159.63218200620474,230.24979374903322,142.95,135.41075491209924,218.12299438160318,174.87,165.64728024819027,270.5770667236039
2013-06-01,107.0699,182.86136373340165,168.02,159.15855222337126,240.6024976921712,154.07,145.9442812823164,216.75966327389932,154.48,146.3326577042399,249.2890250498124,174.79,165.5714994829369,238.81652889504815,143.74,136.15908996897622,219.32843100672716,173.18,164.046411582213,267.9621228066204
2013-07-01,107.0699,182.86136373340165,170.99,161.97191313340227,244.85549982373732,154.36,146.21898655635988,217.16766160160387,152.36,144.32446742502586,245.8679172487664,168.92,160.01108583247154,230.7963159274074,145.3,137.63681489141675,221.7087868740605,176.3,167.0018614270941,272.789711576436
2013-08-01,107.0699,182.86136373340165,171.91,162.84339193381592,246.1729280934481,156.42,148.1703412616339,220.0658566190909,151.76,143.75611168562563,244.89967919186645,173.89,164.7189658738366,237.5868539937063,144.03,136.43379524301963,219.77093305898782,174.14,164.95578076525334,269.4475347357944
2013-09-01,107.4486,183.5081337261432,173.76,164.59582213029987,248.82210450536638,153.97,145.84955532574972,216.61897419538056,152.12,144.09712512926578,245.48062202600642,173.55,164.39689762150982,237.12231014208834,143.91,136.3201240951396,219.58782876150065,170.84,161.82982419855222,264.3414312292588
2013-10-01,107.4486,183.5081337261432,174.95,165.7230610134436,250.52616933249223,153.32,145.23383660806616,215.7044951850084,151.48,143.49087900723887,244.44783476531322,172.97,163.84748707342294,236.32985298344576,142.84,135.3065563598759,217.95514877557335,174.29,165.0978697001034,269.67963034972786
