start_year,holding_period,end_year,start_date,end_date,Attribute,start_value,end_value,total_growth,cagr
2005,20,2025,2005-01-01,2025-12-01,Vancouver,124.67845173312544,290.2397581254723,1.3279063389937762,0.04315363354781798
2010,5,2015,2010-01-01,2015-12-01,Calgary,178.50783025264906,186.42220371266708,0.04433628176879689,0.00871405757823318
2010,5,2015,2010-01-01,2015-12-01,Canada,166.70628922761622,206.39084582212544,0.23805074648578506,0.0436327262895293
2010,5,2015,2010-01-01,2015-12-01,Edmonton,210.98197070797067,216.54717709601735,0.026377639612390036,0.00522073053149863
2010,5,2015,2010-01-01,2015-12-01,Montreal,177.23819151408222,192.45060635239136,0.08583034338341489,0.016605359039796763
2010,5,2015,2010-01-01,2015-12-01,Ottawa,160.7683703995629,166.12087934476997,0.033293296012793405,0.006571714832254383
2010,5,2015,2010-01-01,2015-12-01,S&P 500(CAD),48.09723518607214,109.425298687832,1.2750850077868732,0.17868980110971044
2010,5,2015,2010-01-01,2015-12-01,TSX,139.86366512243868,149.23376434643234,0.0669945208127567,0.013053631835943103
2010,5,2015,2010-01-01,2015-12-01,Toronto,143.93017107925579,195.19692107013472,0.3561918227877925,0.0628310272470145
2010,5,2015,2010-01-01,2015-12-01,Vancouver,182.69795957769148,230.57697949623412,0.26206652788687723,0.047650560639220796
2010,10,2020,2010-01-01,2020-12-01,Calgary,178.50783025264906,168.38309534112219,-0.056718715908411044,-0.005822061171956494
2010,10,2020,2010-01-01,2020-12-01,Canada,166.70628922761622,282.0473933649289,0.6918821399703108,0.05399126241186347
2010,10,2020,2010-01-01,2020-12-01,Edmonton,210.98197070797067,193.81465751932916,-0.08136862657522304,-0.008451122200877292
2010,10,2020,2010-01-01,2020-12-01,Montreal,177.23819151408222,247.64338444065865,0.3972348867088418,0.03401524559370728
2010,10,2020,2010-01-01,2020-12-01,Ottawa,160.7683703995629,225.71950171821302,0.4040044142838852,0.03451513149811447
2010,10,2020,2010-01-01,2020-12-01,S&P 500(CAD),48.09723518607214,172.93810348688095,2.595593443528327,0.1365199354236053
2010,10,2020,2010-01-01,2020-12-01,TSX,139.86366512243868,184.1092823461699,0.31634818939570875,0.027867366661235682
2010,10,2020,2010-01-01,2020-12-01,Toronto,143.93017107925579,281.2218426654784,0.9538769429421601,0.06927575783583317
2010,10,2020,2010-01-01,2020-12-01,Vancouver,182.69795957769148,298.12043335852854,0.6317666275399982,0.050184985006176186
2010,15,2025,2010-01-01,2025-12-01,Calgary,178.50783025264906,205.0209057253627,0.14852612031185775,0.009274711762145671
2010,15,2025,2010-01-01,2025-12-01,Canada,166.70628922761622,242.9773280389394,0.4575174647861351,0.02543369631597292
2010,15,2025,2010-01-01,2025-12-01,Edmonton,210.98197070797067,197.41340223535585,-0.06431150693627596,-0.00442170630730343
2010,15,2025,2010-01-01,2025-12-01,Montreal,177.23819151408222,286.5319498218987,0.6166490267936,0.03254197660140545
2010,15,2025,2010-01-01,2025-12-01,Ottawa,160.7683703995629,238.61320681037176,0.4842049230040619,0.026674852567859952
2010,15,2025,2010-01-01,2025-12-01,S&P 500(CAD),48.09723518607214,282.6585515097289,4.876814964856449,0.12532025114870549
2010,15,2025,2010-01-01,2025-12-01,TSX,139.86366512243868,278.8887317581537,0.994004171948522,0.04708451623626919
2010,15,2025,2010-01-01,2025-12-01,Toronto,143.93017107925579,257.6635206963441,0.7901981131840701,0.03958516395394396
2010,15,2025,2010-01-01,2025-12-01,Vancouver,182.69795957769148,290.2397581254723,0.5886316344001048,0.03133925225207945
2015,5,2020,2015-01-01,2020-12-01,Calgary,197.79995147207748,168.38309534112219,-0.14872023937330414,-0.031689900426820516
2015,5,2020,2015-01-01,2020-12-01,Canada,191.02531915802058,282.0473933649289,0.4764921980400554,0.08105112057702235
2015,5,2020,2015-01-01,2020-12-01,Edmonton,220.30764637408885,193.81465751932916,-0.12025451358948214,-0.02529900485715486
2015,5,2020,2015-01-01,2020-12-01,Montreal,195.88192001271858,247.64338444065865,0.26424830032592705,0.04801253144476192
2015,5,2020,2015-01-01,2020-12-01,Ottawa,166.66321088819035,225.71950171821302,0.354345092208993,0.06254141740284092
2015,5,2020,2015-01-01,2020-12-01,S&P 500(CAD),96.08649350976518,172.93810348688095,0.7998169895678982,0.12472324107053967
2015,5,2020,2015-01-01,2020-12-01,TSX,171.29429964071073,184.1092823461699,0.07481266295690259,0.01453388039337633
2015,5,2020,2015-01-01,2020-12-01,Toronto,183.75559004478245,281.2218426654784,0.5304124494767357,0.08883406083630185
