date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio
2014-10-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,412.14946228292047,382.9669124123461,102654.39865831776,352000,249345.60134168225,2014,1126.0,375.3333333333333,293.3333333333333,211200.0,176.0,88.0,1344.816128949587,0.0,0.0,1344.816128949587,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-11-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,410.61759463327104,384.49878006199555,102269.89987825576,353300,251030.10012174424,2014,1126.0,375.3333333333333,294.4166666666667,211980.0,176.65,88.325,1345.3425946332711,0.0,0.0,1345.3425946332711,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2014-12-01,171300,34260.0,137040.0,5-year fixed,5,0.048,795.1163746952666,409.079599513023,386.03677518224356,101883.86310307351,356100,254216.1368969265,2014,1126.0,375.3333333333333,296.75,213660.0,178.04999999999998,89.02499999999999,1348.2379328463564,0.0,0.0,1348.2379328463564,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-01-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,336.2167482401425,415.36526065084496,101468.49784242267,354200,252731.5021575773,2015,1155.0,385.0,295.1666666666667,212520.0,177.1,88.55,1282.0334149068092,0.0,0.0,1282.0334149068092,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-02-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,334.8460428799948,416.7359660109927,101051.76187641168,353300,252248.23812358832,2015,1155.0,385.0,294.4166666666667,211980.0,176.65,88.325,1279.2377095466616,0.0,0.0,1279.2377095466616,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-03-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,333.4708141921585,418.11119469882897,100633.65068171285,354300,253666.34931828716,2015,1155.0,385.0,295.25,212580.0,177.15,88.575,1279.4458141921587,0.0,0.0,1279.4458141921587,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-04-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,332.0910472496524,419.4909616413351,100214.15972007152,353100,252885.84027992847,2015,1155.0,385.0,294.25,211860.0,176.54999999999998,88.27499999999999,1276.1660472496524,0.0,0.0,1276.1660472496524,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-05-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,330.70672707623595,420.87528181475153,99793.28443825677,353000,253206.71556174324,2015,1155.0,385.0,294.1666666666667,211800.0,176.5,88.25,1274.6233937429026,0.0,0.0,1274.6233937429026,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-06-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,329.3178386462473,422.26417024474017,99371.02026801203,351100,251728.979731988,2015,1155.0,385.0,292.5833333333333,210660.0,175.54999999999998,87.77499999999999,1270.2261719795806,0.0,0.0,1270.2261719795806,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-07-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,327.9243668844396,423.65764200654786,98947.36262600547,351200,252252.6373739945,2015,1155.0,385.0,292.6666666666667,210720.0,175.6,87.8,1268.9910335511063,0.0,0.0,1268.9910335511063,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-08-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,326.526296665818,425.0557122251695,98522.30691378031,350400,251877.6930862197,2015,1155.0,385.0,292.0,210240.0,175.20000000000002,87.60000000000001,1266.3262966658178,0.0,0.0,1266.3262966658178,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-09-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,325.123612815475,426.4583960755125,98095.8485177048,350700,252604.1514822952,2015,1155.0,385.0,292.25,210420.0,175.35,87.675,1265.398612815475,0.0,0.0,1265.398612815475,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-10-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,323.7163001084258,427.8657087825617,97667.98280892224,350500,252832.01719107776,2015,1155.0,385.0,292.0833333333333,210300.0,175.25,87.625,1263.6746334417592,0.0,0.0,1263.6746334417592,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-11-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,322.30434326944334,429.27766562154414,97238.7051433007,350900,253661.2948566993,2015,1155.0,385.0,292.4166666666667,210540.0,175.45000000000002,87.72500000000001,1262.89600993611,0.0,0.0,1262.89600993611,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2015-12-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,320.88772697289227,430.6942819180952,96808.0108613826,349100,252291.9891386174,2015,1155.0,385.0,290.9166666666667,209460.0,174.54999999999998,87.27499999999999,1258.629393639559,0.0,0.0,1258.629393639559,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-01-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,319.46643584256253,432.11557304842495,96375.89528833417,347900,251524.10471166583,2016,1132.0,377.3333333333333,289.9166666666667,208740.0,173.95000000000002,86.97500000000001,1247.6414358425625,0.0,0.0,1247.6414358425625,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-02-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,318.04045445150274,433.54155443948474,95942.35373389469,347400,251457.6462661053,2016,1132.0,377.3333333333333,289.5,208440.0,173.70000000000002,86.85000000000001,1245.423787784836,0.0,0.0,1245.423787784836,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-03-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,316.6097673218524,434.97224156913506,95507.38149232556,345000,249492.61850767443,2016,1132.0,377.3333333333333,287.5,207000.0,172.5,86.25,1240.1931006551858,0.0,0.0,1240.1931006551858,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-04-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,315.17435892467427,436.4076499663132,95070.97384235925,343600,248529.02615764074,2016,1132.0,377.3333333333333,286.3333333333333,206160.0,171.79999999999998,85.89999999999999,1236.541025591341,0.0,0.0,1236.541025591341,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-05-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,313.73421367978546,437.847795211202,94633.12604714805,343100,248466.87395285195,2016,1132.0,377.3333333333333,285.9166666666667,205860.0,171.54999999999998,85.77499999999999,1234.3092136797854,0.0,0.0,1234.3092136797854,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
2016-06-01,171300,34260.0,137040.0,5-year fixed,5,0.039599999999999996,751.5820088909875,312.2893159555885,439.292692935399,94193.83335421265,344500,250306.16664578737,2016,1132.0,377.3333333333333,287.0833333333333,206700.0,172.25,86.125,1235.080982622255,0.0,0.0,1235.080982622255,15,Edmonton,balanced,2005-01-01,2025-12-01,0.2,0.01,0.6
