date,canada_house_real,canada_house_real_index_1999,tsx_cad,tsx_real,tsx_real_index_1999,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
2011-11-01,103.7585,177.20592630545235,12204.1,9246.447973531844,146.47374298686526,1246.959961,1.024755,1277.828454834555,968.1479442749812,52.19973637140064,171.54,129.96744416873446,196.47383850148822,139.17,105.44228287841189,156.6052025522232,147.06,111.42014888337468,189.81286010796367,152.37,115.44327543424316,166.51272960369704,139.74,105.87414392059553,170.5446905937428,165.71,125.55033912324234,205.0805931447931
2011-12-01,103.6796,177.0711754408437,11955.1,9110.542096505824,144.32084680890625,1257.599976,1.0235238095238095,1287.1835182925713,980.9152269184652,52.88811131668661,169.5,129.16971713810315,195.26790194724586,138.96,105.89630615640598,157.27952793168868,142.09,108.28156405990016,184.46603758074986,157.95,120.36788685524125,173.6158760352535,136.6,104.09783693843592,167.68337135701665,164.05,125.01647254575707,204.2085471181919
2012-01-01,103.6796,177.0711754408437,12452.2,9450.054018227009,149.69908309007255,1312.410034,1.012985,1329.45167829149,1008.9293598301613,54.39855232036918,168.33,127.74671085335542,193.11672086675043,140.04,106.27724937862467,157.8453132015813,145.87,110.70167357083679,188.5888817220388,153.85,116.75774647887322,168.40869245474286,138.25,104.91880695940347,169.0058101794515,159.52,121.06074565037282,197.7470526794721
2012-02-01,103.6796,177.0711754408437,12644.0,9556.026402640262,151.3778003491416,1365.680054,0.996745,1361.2347654242299,1028.7879910301936,55.46927226505165,169.31,127.96036303630363,193.43970224686865,139.49,105.42313531353136,156.57676416683702,146.5,110.7211221122112,188.6220138197806,150.4,113.66864686468645,163.95304610512974,137.51,103.92669966996698,167.4076992106427,161.06,121.72521452145213,198.83243143001002
2012-03-01,105.5386,180.24610392382905,12392.2,9327.243385373871,147.75362975230678,1408.469971,0.9937727272727273,1399.699044362409,1053.51218129496,56.80232907878445,173.06,130.2571569433032,196.91180187952105,140.62,105.84052588331963,157.19668184066484,147.35,110.9059983566146,188.93696483239285,154.02,115.92631059983566,167.20944843478387,136.37,102.64167625308136,165.33775169632955,164.31,123.67129005751849,202.01125458594987
2012-04-01,105.5386,180.24610392382905,12292.7,9214.495253682488,145.96757732321333,1397.910034,0.9928238095238096,1387.8783653274381,1040.3409023240042,56.092171820254144,172.03,128.95211129296234,194.93894375353338,143.63,107.66373158756137,159.90454713732566,149.68,112.19875613747955,191.13927791734164,161.15,120.79656301145663,174.23418867944127,141.26,105.88720130932896,170.56572375858403,166.29,124.64945990180031,203.60904916987965
2012-05-01,105.5386,180.24610392382905,11513.2,8637.25733005733,136.82350388989386,1310.329956,1.009731818181818,1323.0818488899815,992.5822879469476,53.51716549535546,174.91,131.21831285831286,198.36479646003454,145.71,109.31233415233416,162.35308800287268,151.0,113.28091728091728,192.98282330650304,159.22,119.44760032760031,172.2884758799947,139.65,104.76609336609337,168.75981534486692,167.87,125.93687141687143,205.7119755257619
2012-06-01,106.9303,182.6229452201016,11596.6,8735.596710526315,138.38130610557,1362.160034,1.028,1400.300514952,1054.831637907921,56.87347036226013,172.83,130.19101973684212,196.81182121971597,147.77,111.31358552631579,165.3253906524815,152.19,114.64312500000001,195.3034497444634,162.42,122.34927631578947,176.47378669521055,144.6,108.92565789473684,175.46014480466633,170.28,128.27013157894737,209.5232466170326
2012-07-01,106.9303,182.6229452201016,11664.7,8794.127736625514,139.30850090492999,1379.319946,1.0142,1398.9062892332001,1054.6486921297212,56.86360645514886,172.78,130.26047736625515,196.91682141535168,150.62,113.55384362139918,168.65267135214495,151.11,113.92325925925925,194.077102656319,162.18,122.26903703703704,176.3580514020439,143.19,107.9522962962963,173.89222985872473,168.29,126.87542386831275,207.24505695575425
2012-08-01,106.9303,182.6229452201016,11949.3,8986.501477832511,142.3559091645811,1406.579956,0.9923826086956522,1395.8654860742956,1049.7641914975818,56.60024831158067,169.21,127.25481116584565,192.37310833839098,148.81,111.91293924466339,166.2155640051439,152.0,114.311986863711,194.73933026185858,161.3,121.30607553366174,174.96909784171606,144.49,108.66407224958951,175.03877617524086,171.54,129.0070935960591,210.7270395231282
