date,bc_vancouver,ab_calgary,on_toronto,on_ottawa,qc_montreal,ab_edmonton,canada_house_index,canada_house_index_index_1999,bc_vancouver_index_1999,on_toronto_index_1999,qc_montreal_index_1999,ab_calgary_index_1999,on_ottawa_index_1999,canada_house_index_index_2008,bc_vancouver_index_2008,on_toronto_index_2008,qc_montreal_index_2008,ab_calgary_index_2008,on_ottawa_index_2008,ab_edmonton_index_2008
2013-08-01,171.91,173.89,156.42,144.03,151.76,174.14,107.0699,182.86136373340165,259.095704596835,218.61635220125785,255.01596370357925,250.41762672811058,208.135838150289,108.53182366476437,113.76480709416981,131.51168656465444,123.31193629641668,103.78394509101759,122.81913532872859,98.9994314951677
2013-09-01,173.76,173.55,153.97,143.91,152.12,170.84,107.4486,183.5081337261432,261.88394875659384,215.19217330538086,255.62090404973955,249.9279953917051,207.96242774566474,108.9156944036167,114.98908080206472,129.45182444930217,123.60445275046723,103.5810205908684,122.71680736761321,97.12336554860717
2013-10-01,174.95,172.97,153.32,142.84,151.48,174.29,107.4486,183.5081337261432,263.67746797287117,214.2837176799441,254.54545454545453,249.0927419354839,206.4161849710983,108.9156944036167,115.77658659254845,128.9053304186985,123.0844234988218,103.23485526708444,121.80438304766778,99.08470722001135
2013-11-01,174.95,172.24,155.71,142.65,149.25,172.91,107.4486,183.5081337261432,263.67746797287117,217.62403913347313,250.79818517896152,248.04147465437788,206.14161849710985,108.9156944036167,115.77658659254845,130.91474693122584,121.27244657511986,102.79916442852878,121.64236377590179,98.30017055144968
2013-12-01,176.78,171.62,155.65,141.88,149.04,173.45,108.0217,184.48691345373808,266.43556895252453,217.5401816911251,250.44530331036802,247.14861751152077,205.02890173410404,109.49661946418252,116.98762490900667,130.86430132840087,121.10181197692371,102.42912563413907,120.98575935874479,98.60716316088686
2014-01-01,180.83,175.62,155.93,139.45,151.9,174.86,108.0217,184.48691345373808,272.5395629238885,217.9315164220825,255.2512182826416,252.90898617511522,201.51734104046238,109.49661946418252,119.6677916749388,131.099714141584,123.42569269521411,104.81647269471799,118.91361814615844,99.40875497441729
2014-02-01,180.22,178.19,155.08,141.26,154.99,175.94,108.0217,184.48691345373808,271.6201959306707,216.74353598881902,260.4436229205176,256.6100230414746,204.13294797687857,109.49661946418252,119.26411223611937,130.38506810156383,125.9364589258146,106.35034318113993,120.457064892982,100.02274019329165
2014-03-01,182.75,178.76,155.6,138.92,152.98,175.78,109.3543,186.76281969172962,275.4333082140166,217.4703004891684,257.0660393211225,257.4308755760369,200.75144508670516,110.84741467568142,120.93838925286214,130.82226332604674,124.30324205736571,106.69054013727244,118.4616696512322,99.93177942012507
2014-04-01,180.37,183.43,157.47,143.47,154.17,178.4,109.3543,186.76281969172962,271.84626978146196,220.083857442348,259.06570324315237,264.15610599078343,207.3265895953757,110.84741467568142,119.36337767189464,132.39448461409114,125.2701714471439,109.47776783049837,122.3416048435235,101.42126208072769
2014-05-01,179.9,184.12,161.26,143.6,157.01,178.46,109.3543,186.76281969172962,271.1379050489827,225.38085255066386,263.83801041841707,265.14976958525347,207.51445086705203,110.84741467568142,119.05234597313215,135.58096519253405,127.5778012513204,109.88958519844823,122.45246013473181,101.45537237066516
2014-06-01,179.84,183.11,162.58,146.53,157.02,182.0,110.5261,188.76410059348447,271.0474755086662,227.2257162823201,263.8548143169216,263.6952764976959,211.74855491329478,112.035214337121,119.01263979882204,136.69076845468305,127.58592670837736,109.28678006565204,124.95096785196556,103.46787947697555
2014-07-01,181.17,187.1,166.39,146.65,155.53,183.36,110.5261,188.76410059348447,273.05199698568197,232.55066387141858,261.35103343975806,269.4412442396313,211.9219653179191,112.035214337121,119.89279332936269,139.89406423406757,126.3752336068904,111.66815875857952,125.05329581308094,104.24104604889142
2014-08-01,183.05,188.15,167.35,147.44,155.02,181.67,110.5261,188.76410059348447,275.8854559155991,233.89238294898672,260.49403461603094,270.9533410138249,213.0635838150289,112.035214337121,121.13692012441268,140.70119387926684,125.96083529698548,112.2948373619815,125.7269548904238,103.2802728823195
2014-09-01,184.33,189.68,165.86,143.13,154.02,181.87,111.0363,189.63545536057381,277.8146194423512,231.80992313067787,258.81364476558565,273.15668202764977,206.83526011560693,112.55238056622707,121.9839851763616,139.44846140911383,125.14828959128951,113.20799761265295,122.05167562036326,103.3939738487777
2014-10-01,186.17,189.82,165.11,143.11,155.67,181.36,111.0363,189.63545536057381,280.58779201205726,230.76170510132778,261.58628801882037,273.35829493087556,206.80635838150292,112.55238056622707,123.20164118853813,138.81789137380193,126.48899000568781,113.29155475977319,122.03462096017739,103.10403638430927
2014-11-01,184.43,187.06,165.93,146.12,154.4,187.33,111.0363,189.63545536057381,277.96533534287875,231.90775681341722,259.45219290875485,269.3836405529954,211.15606936416188,112.55238056622707,122.05016213354509,139.50731461240963,125.45705695945398,111.64428528797374,124.6013473181547,106.49801023308699
