date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio,sp500_return,tsx_return,rent_growth_mode,rent_control_rate,annual_move_probability,move_cost_multiplier,portfolio_return,portfolio_return_net,monthly_investment_cost,owner_total_cash_outflow,month_number,monthly_move_probability,random_move,renter_moves,actual_renter_rent,move_cost,renter_total_cash_outflow,monthly_savings_difference,renter_monthly_investment,renter_portfolio_value,renter_networth,wealth_difference,wealth_ratio,investment_fee,tax_drag
2019-04-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,483.82990307583214,913.5949062165182,145701.52723797507,756200,610498.472762025,2019,1476.0,492.0,441.11666666666673,340290.0,283.575,189.05,1889.571569742499,0.0,0.0,1889.571569742499,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.039313498395682656,0.029722831183510268,controlled,0.025,0.08,1.8,0.03451816478959646,0.03428899812292979,0.00022916666666666666,2614.116475959017,171,0.006666666666666667,0.016587828927856152,False,1317.2701365858247,0.0,1317.2701365858247,1296.8463393731922,1296.8463393731922,463040.28176798864,463040.28176798864,-147458.19099403633,0.7584626373807225,0.001,0.00175
2019-05-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,480.8150398853177,916.6097694070328,144784.91746856805,759500,614715.0825314319,2019,1476.0,492.0,443.0416666666667,341775.0,284.8125,189.875,1890.5442065519844,0.0,0.0,1890.5442065519844,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.06577773118928687,-0.0327609811407239,controlled,0.025,0.08,1.8,-0.049269356165005385,-0.049498522831672054,0.00022916666666666666,2617.278975959017,172,0.006666666666666667,0.512093058299281,False,1320.0144493703788,0.0,1320.0144493703788,1297.264526588638,1297.264526588638,441417.7363355006,441417.7363355006,-173297.3461959313,0.7180850915805044,0.001,0.00175
2019-06-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,477.7902276462745,919.6345816460758,143865.28288692198,767900,624034.717113078,2019,1476.0,492.0,447.94166666666666,345555.0,287.96250000000003,191.975,1897.6693943129412,0.0,0.0,1897.6693943129412,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.06893016392561213,0.021493374902572082,controlled,0.025,0.08,1.8,0.04521176941409211,0.04498260274742544,0.00022916666666666666,2625.328975959017,173,0.006666666666666667,0.22649577519793795,False,1322.764479473234,0.0,1322.764479473234,1302.5644964857831,1302.5644964857831,462576.419511234,462576.419511234,-161458.297601844,0.7412671231677852,0.001,0.00175
2019-07-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,474.75543352684247,922.669375765508,142942.6135111565,774000,631057.3864888435,2019,1476.0,492.0,451.5,348300.0,290.25,193.5,1902.0054335268424,0.0,0.0,1902.0054335268424,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.013128152149977756,0.0014894214452270127,controlled,0.025,0.08,1.8,0.007308786797602385,0.007079620130935718,0.00022916666666666666,2631.1748092923503,174,0.006666666666666667,0.6451727904094499,False,1325.52023880547,0.0,1325.52023880547,1305.6545704868804,1305.6545704868804,467156.9394133888,467156.9394133888,-163900.4470754547,0.7402764778851815,0.001,0.00175
2019-08-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,471.71062458681627,925.714184705534,142016.89932645092,779600,637583.1006735491,2019,1476.0,492.0,454.76666666666665,350820.0,292.35,194.9,1905.7272912534831,0.0,0.0,1905.7272912534831,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.01809162728132674,0.002163763363524529,controlled,0.025,0.08,1.8,-0.007963931958901105,-0.008193098625567772,0.00022916666666666666,2636.541475959017,175,0.006666666666666667,0.17436642900499144,False,1328.2817393029816,0.0,1328.2817393029816,1308.2597366560356,1308.2597366560356,464637.7362718126,464637.7362718126,-172945.36440173653,0.7287485125954007,0.001,0.00175
2019-09-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,468.655767777288,928.7690415150624,141088.13028493585,785000,643911.8697150642,2019,1476.0,492.0,457.9166666666667,353250.0,294.375,196.25,1909.1974344439548,0.0,0.0,1909.1974344439548,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.017181177829208583,0.0131674177872656,controlled,0.025,0.08,1.8,0.015174297808237092,0.014945131141570424,0.00022916666666666666,2641.716475959017,176,0.006666666666666667,0.690937738102466,False,1331.0489929265295,0.0,1331.0489929265295,1310.6674830324873,1310.6674830324873,472892.47565674974,472892.47565674974,-171019.39405831444,0.73440558855672,0.001,0.00175
2019-10-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,465.59082994028824,931.833979352062,140156.2963055838,793300,653143.7036944162,2019,1476.0,492.0,462.7583333333334,356985.0,297.4875,198.325,1916.1616632736216,0.0,0.0,1916.1616632736216,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.020431770730503063,-0.010529096082503853,controlled,0.025,0.08,1.8,0.004951337323999605,0.0047221706573329384,0.00022916666666666666,2649.6706426256837,177,0.006666666666666667,0.3867353463005374,False,1333.8220116617933,0.0,1333.8220116617933,1315.8486309638904,1315.8486309638904,476441.4032603335,476441.4032603335,-176702.3004340827,0.7294587708117053,0.001,0.00175
2019-11-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,462.5157778084264,934.909031483924,139221.38727409986,798300,659078.6127259001,2019,1476.0,492.0,465.675,359235.0,299.3625,199.575,1919.1282778084264,0.0,0.0,1919.1282778084264,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.034047037421886195,0.033791982139390386,controlled,0.025,0.08,1.8,0.03391950978063829,0.03369034311397162,0.00022916666666666666,2654.4623092923507,178,0.006666666666666667,0.9367299887367345,False,1336.6008075194222,0.0,1336.6008075194222,1317.8615017729285,1317.8615017729285,493810.7391116492,493810.7391116492,-165267.87361425092,0.749244065240237,0.001,0.00175
2019-12-01,318500,63700.0,254800.0,5-year fixed,5,0.0395999999999999,1397.4248092923503,459.4305780045295,937.9942312878208,138283.39304281204,801500,663216.606957188,2019,1476.0,492.0,467.5416666666667,360675.0,300.5625,200.375,1919.909744671196,0.0,0.0,1919.909744671196,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.028589818964716907,0.001361486367530862,controlled,0.025,0.08,1.8,0.014975652666123884,0.014746485999457217,0.00022916666666666666,2657.528975959017,179,0.006666666666666667,0.13752094414599325,False,1339.385392535088,0.0,1339.385392535088,1318.143583423929,1318.143583423929,502410.85584576475,502410.85584576475,-160805.75111142325,0.7575366035401409,0.001,0.00175
2020-01-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,470.16353634556094,935.1522417795328,137348.24080103252,804900,667551.7591989675,2020,1545.0,515.0,469.525,362205.0,301.83750000000003,201.225,1957.7510363455613,0.0,0.0,1957.7510363455613,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.0016280925822201864,0.014950127172778993,controlled,0.025,0.08,1.8,0.006661017295279403,0.006431850628612737,0.00022916666666666666,2691.678278125094,180,0.006666666666666667,0.3410663510502585,False,1342.1757787695362,0.0,1342.1757787695362,1349.5024993555578,1349.5024993555578,506991.7899241138,506991.7899241138,-160559.9692748537,0.7594793706071293,0.001,0.00175
2020-02-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,466.9840187235106,938.3317594015832,136409.90904163092,813700,677290.0909583691,2020,1545.0,515.0,474.65833333333336,366165.0,305.1375,203.425,1965.204852056844,0.0,0.0,1965.204852056844,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.08411048367946572,-0.06094061263966277,controlled,0.025,0.08,1.8,-0.07252554815956425,-0.07275471482623092,0.00022916666666666666,2700.1116114584274,181,0.006666666666666667,0.11347352124058907,False,1344.9719783086396,0.0,1344.9719783086396,1355.1396331497879,1355.1396331497879,471460.8864620943,471460.8864620943,-205829.20449627476,0.6960988987672545,0.001,0.00175
2020-03-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,463.7936907415451,941.5220873835488,135468.38695424737,817900,682431.6130457526,2020,1545.0,515.0,477.10833333333335,368055.0,306.71250000000003,204.475,1967.089524074879,0.0,0.0,1967.089524074879,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,-0.1251192824598233,-0.17735241128690105,controlled,0.025,0.08,1.8,-0.15123584687336217,-0.15146501354002884,0.00022916666666666666,2704.1366114584275,182,0.006666666666666667,0.9246936182785628,False,1347.7740032634495,0.0,1347.7740032634495,1356.362608194978,1356.362608194978,401407.4195187142,401407.4195187142,-281024.19352703844,0.5882016774211226,0.001,0.00175
2020-04-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,460.5925156444411,944.7232624806528,134523.6636917667,806400,671876.3363082333,2020,1545.0,515.0,470.4,362880.0,302.40000000000003,201.6,1949.9925156444417,0.0,0.0,1949.9925156444417,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.12684403825663826,0.10478518252758096,controlled,0.025,0.08,1.8,0.11581461039210961,0.11558544372544294,0.00022916666666666666,2693.115778125094,183,0.006666666666666667,0.877339353380981,False,1350.5818657702484,0.0,1350.5818657702484,1342.5339123548456,1342.5339123548456,449146.8081308246,449146.8081308246,-222729.52817740873,0.6684962453042427,0.001,0.00175
2020-05-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,457.3804565520068,947.9353215730872,133575.72837019362,811700,678124.2716298064,2020,1545.0,515.0,473.49166666666673,365265.0,304.3875,202.925,1953.1846232186736,0.0,0.0,1953.1846232186736,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.04528181967606559,0.027880952864207886,controlled,0.025,0.08,1.8,0.03658138627013674,0.03635221960347007,0.00022916666666666666,2698.1949447917605,184,0.006666666666666667,0.2579416277151556,False,1353.3955779906032,0.0,1353.3955779906032,1344.7993668011572,1344.7993668011572,466819.09090099507,466819.09090099507,-211305.1807288113,0.688397555479087,0.001,0.00175
2020-06-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,454.1574764586584,951.1583016664356,132624.5700685272,831200,698575.4299314728,2020,1545.0,515.0,484.86666666666673,374040.0,311.7,207.8,1973.524143125325,0.0,0.0,1973.524143125325,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.018388396357494674,0.02122057816860634,controlled,0.025,0.08,1.8,0.019804487263050508,0.019575320596383842,0.00022916666666666666,2716.8824447917605,185,0.006666666666666667,0.659984046034179,False,1356.2151521114172,0.0,1356.2151521114172,1360.6672926803433,1360.6672926803433,477317.8915585748,477317.8915585748,-221257.53837289795,0.6832732316471503,0.001,0.00175
2020-07-01,318500,63700.0,254800.0,5-year fixed,5,0.0408,1405.315778125094,450.9235382329925,954.3922398921012,131670.1778286351,850600,718929.8221713649,2020,1545.0,515.0,496.18333333333334,382770.0,318.975,212.65,1993.731871566326,0.0,0.0,1993.731871566326,6,Toronto,balanced,2005-01-01,2025-12-01,0.2,0.007,0.45,0.055101321441235696,0.04215221202433739,controlled,0.025,0.08,1.8,0.04862676673278654,0.04839760006611987,0.00022916666666666666,2735.474111458427,186,0.006666666666666667,0.8172222002012158,False,1359.0406003449827,0.0,1359.0406003449827,1376.4335111134444,1376.4335111134444,501795.36548974377,501795.36548974377,-217134.45668162114,0.6979754490837289,0.001,0.00175
