date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost
2008-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,831.3745871897682,343.7891445134245,177807.90811043693,315000,137192.09188956307,2008,774.0,258.0,262.5,262.5,1614.3745871897681,0.0,0.0,1614.3745871897681
2008-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,829.7702378487056,345.39349385448713,177462.51461658243,315600,138137.48538341757,2008,774.0,258.0,263.0,263.0,1613.7702378487056,0.0,0.0,1613.7702378487056
2008-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,828.1584015440512,347.0053301591415,177115.50928642327,315600,138484.49071357673,2008,774.0,258.0,263.0,263.0,1612.1584015440512,0.0,0.0,1612.1584015440512
2008-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,826.5390433366418,348.6246883665509,176766.88459805673,314600,137833.11540194327,2008,774.0,258.0,262.1666666666667,262.1666666666667,1608.8723766699754,0.0,0.0,1608.8723766699754
2008-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,824.9121281242647,350.2516035789281,176416.6329944778,313100,136683.3670055222,2008,774.0,258.0,260.9166666666667,260.9166666666667,1604.7454614575981,0.0,0.0,1604.7454614575981
2008-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,823.2776206408963,351.88611106229644,176064.74688341553,311500,135435.25311658447,2008,774.0,258.0,259.5833333333333,259.5833333333333,1600.4442873075627,0.0,0.0,1600.4442873075627
2008-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,821.635485455939,353.5282462472537,175711.21863716826,309300,133588.78136283174,2008,774.0,258.0,257.75,257.75,1595.135485455939,0.0,0.0,1595.135485455939
2008-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,819.9856869734518,355.1780447297409,175356.0405924385,307500,132143.9594075615,2008,774.0,258.0,256.25,256.25,1590.4856869734517,0.0,0.0,1590.4856869734517
2008-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,818.3281894313797,356.8355422718131,174999.2050501667,305800,130800.7949498333,2008,774.0,258.0,254.83333333333334,254.83333333333334,1585.994856098046,0.0,0.0,1585.994856098046
2008-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,816.6629569007779,358.50077480241487,174640.7042753643,301800,127159.29572463571,2008,774.0,258.0,251.5,251.5,1577.6629569007778,0.0,0.0,1577.6629569007778
2008-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,814.9899532850333,360.1737784181595,174280.53049694613,298800,124519.46950305387,2008,774.0,258.0,249.0,249.0,1570.9899532850332,0.0,0.0,1570.9899532850332
2008-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,813.3091423190818,361.8545893841109,173918.67590756202,295100,121181.32409243798,2008,774.0,258.0,245.91666666666666,245.91666666666666,1563.1424756524152,0.0,0.0,1563.1424756524152
2009-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,811.6204875686227,363.54324413457005,173555.13266342744,292300,118744.86733657256,2009,782.0,260.6666666666667,243.58333333333334,243.58333333333334,1559.4538209019559,0.0,0.0,1559.4538209019559
2009-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,809.923952429328,365.23977927386477,173189.89288415358,289600,116410.10711584642,2009,782.0,260.6666666666667,241.33333333333334,241.33333333333334,1553.2572857626612,0.0,0.0,1553.2572857626612
2009-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,808.21950012605,366.9442315771428,172822.94865257645,287700,114877.05134742355,2009,782.0,260.6666666666667,239.75,239.75,1548.3861667927167,0.0,0.0,1548.3861667927167
2009-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,806.5070937120233,368.6566379911694,172454.29201458528,289000,116545.70798541472,2009,782.0,260.6666666666667,240.83333333333334,240.83333333333334,1548.8404270453566,0.0,0.0,1548.8404270453566
2009-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,804.7866960680645,370.3770356351282,172083.91497895017,291500,119416.08502104983,2009,782.0,260.6666666666667,242.91666666666666,242.91666666666666,1551.2866960680647,0.0,0.0,1551.2866960680647
2009-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,803.0582699017674,372.10546180142535,171711.80951714874,295000,123288.19048285126,2009,782.0,260.6666666666667,245.83333333333334,245.83333333333334,1555.3916032351005,0.0,0.0,1555.3916032351005
